Object IDs,First Version Object ID,KeyValuePair.Assembly Key,First Category,First elementId,Sum of Embodied Carbon_lbs/CO2,First Area,Sum of Embodied Carbon per ft2(lbsCO2/ft2)
40b1d91bbf58e0b91571e653551601a2,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,14409075,1019.74208,36.53125,27.91424
4137920034825a7a18dfb8d84877d8c0,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,13620739,586.19904,21,27.91424
41c645eb94f2e91ee7b72180d3cfcc5a,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,10693984,1755.883236,62.90277778,27.91424
4250c0d9f7c1f4388342f87345f67364,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,13541518,9684.478708,346.9368576,27.91424
425a3f18795e138585b48290d690a88b,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,13620948,341.1740444,12.22222222,27.91424
43508e265e7933f2969921f0c1740d3b,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,14977114,1838.468818,65.86132446,27.91424
4368c292d84646875dee4b781f103bcd,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,15986460,56.99157333,2.041666667,27.91424
43bfa2073c07242bdfb78bca753fd540,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,13722478,2667.55456,95.5625,27.91424
458345dac554fc32daac0a4a8d721c12,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,13555679,1186.3552,42.5,27.91424
45a0003598f3306c752ece0c572de671,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,17145301,388.1824,13.90625,27.91424
46eb297d37ddac642fbdb68405daee6c,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,11300640,382.07616,13.6875,27.91424
46f30f8a50b5a1bd69503d315b4b2d09,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,13553826,1818.205653,65.13541667,27.91424
47354dfad52303e751197f02063c1ca1,15734f8ae9f81ad6e273d75acad015f6,W09,Walls,10464539,658.9040715,43.19689899,15.253504
473890768a13c7e04e8e93b9140c9d9e,15734f8ae9f81ad6e273d75acad015f6,W07,Walls,17307696,1371.66848,32,42.86464
477c9f9bcbfe25b5ff33d2549f749dfa,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,11300685,383.8208,13.75,27.91424
